session,year,country,sentence,split,gold
10,1955,PRY,"Those principles, in their turn, are identical with the fundamental ideals which gave birth to the United Nations — political independence and self-determination of peoples; equality of all States, great and small, before the law; respect for national sovereignty and non-intervention, human dignity for its own sake, and as a corollary, respect for fundamental human rights.",test,POS
41,1986,IDN,"Indonesia has always opposed external interference, whether through political destabilization, economic coercion or outright military intervention, in the struggle of developing countries to consolidate their national independence and to establish their own political, economic and social systems.",test,NEG
42,1987,LKA,"The Central American region presents no less a tangled web of issues, which can only be complicated further by unwarranted foreign intervention.",test,NEG
69,2014,LKA,"External intervention without adequate consideration  of the structures in a society and cultural traditions  of countries where such intervention takes place,  inevitably results in destabilization, which is very much  in evidence today in most parts of the world.",test,NEG
36,1981,DJI,"In connection with the question of Kampuchea, the serious international consequences of the situation in that country have become a source of concern to my Government, which is opposed to foreign armed intervention and the presence of foreign forces in any country.",test,NEG
16,1961,GBR,"Is each country in the Assembly willing to stand up and say that it will pay its share, and are all nations ready to face the consequences of United Nations intervention in a particular matter on the vote of a majority? 107.",test,NET
38,1983,KWT,Kuwait demands the implementation of the Security Council resolutions which call for the unconditional and immediate withdrawal of Israel from Lebanon and the cessation of all intervention in the internal affairs of that sister country and of all efforts to provoke trouble and feuds among its people.,test,NEG
37,1982,ALB,"United States interference in Iran and  the stationing of its aggressive military forces  in the Middle East, the occupation of Afghanistan  by the Soviet Union, the incitement of conflicts  on the African continent, intervention in Latin  America and Southeast Asia along with the  political, economic and military threats and  blackmail in regard to many countries by the two  super-Powers, all go to show that they are  pursuing a policy of oppression and aggression.",test,NEG
37,1982,SOM,"Since the adoption of General Assembly resolution 2832 (XXVI) on  the Indian Ocean, serious obstacles have been placed in the way of  implementing the Declaration of the Indian Ocean as a Zone of Peace  by Soviet military intervention in the affairs of the countries of  the region and in their local conflicts.",test,NEG
17,1962,CUB,"We are also aware that, at the meeting of foreign ministers and elsewhere, respectable representatives of Latin American countries, despite their ideological differences with our revolution, have defended the principles of non-intervention and national self-determination.",test,NEG
23,1968,ECU,The inevitable consequence of this is the principle of non-intervention in the internal affairs of States and the right of peoples to adopt whatever political system they wish.,test,POS
37,1982,GUY,The proscribing of intervention is at  the core of several international instruments  adopted by this world body over the years.,test,POS
41,1986,GRC,"Such a solution should also provide for a system of international guarantees, non-military in character, which should preclude the possibility of unilateral intervention, so that the security of the people of Cyprus in its entirety is effectively assured.",test,NEG
40,1985,CHL,The realization of the objectives confirmed by the Charter must be effected with complete respect for the principles of the sovereign equality of States and non-intervention in their internal affairs.,test,POS
23,1968,GAB,"It must begin by seeking information on the origin of the events in order to determine their hidden motives and then go on to intervene in order to stop the massacres, by rendering harmless those who take refuge in the principle of non-intervention in the domestic affairs of States in order to proceed coolly, without qualms, about their sorry business of grave-diggers.",test,POS
35,1980,ARG,"At the same time, it is essential that all nations, especially the two great Powers, refrain from infringing the principles of non-interference and non-intervention in the internal affairs of States.",test,POS
36,1981,MEX,"From our point of view, the present crisis in relations between the superPowers can be traced to two recent causes: the armed intervention of the Soviet Union in Afghanistan; and the decision by NATO to install euro-missiles in response to the Soviet deployment of SS20 missiles.",test,NEG
39,1984,GHA,"Ghana cannot condemn foreign intervention in Central America, be it covert or overt, and condone the foreign occupation of Kampuchea and Afghanistan, in persistent defiance of United Nations resolutions.",test,NEG
